LGAs,Population 2021,Babies under 1 year,Children 1-3 years,Children 4-8 years,Adolescents 9-11 years,12-18 years,Women 19-50,Women 51-70,Men 19-70,Adults over 70,Calcium recommended,Demand
Albury,56036,635,1947,3436,2109,4639,12088,6587,18137,6459,59105590,54225
Armidale,29332,333,1019,1798,1104,2428,6327,3448,9494,3381,30838112,28292
Ballina,46172,523,1604,2831,1738,3822,9960,5428,14944,5322,48642721,44626
Balranald,2207,25,77,135,83,183,476,259,714,254,2312630,2122
Bathurst,43653,495,1517,2676,1643,3613,9416,5131,14129,5032,45974794,42179
Bayside (NSW),176061,1996,6117,10795,6628,14574,37978,20696,56984,20294,188421145,172863
Bega Valley,35761,405,1242,2193,1346,2960,7714,4204,11574,4122,37626769,34520
Bellingen,13197,150,458,809,497,1092,2847,1551,4271,1521,13847262,12704
Berrigan,8612,98,299,528,324,713,1858,1012,2787,993,9031269,8286
Blacktown,399711,4531,13887,24507,15047,33087,86222,46986,129370,46074,439260757,402992
Bland,5542,63,193,340,209,459,1195,651,1794,639,5809622,5330
Blayney,7508,85,261,460,283,621,1620,883,2430,865,7872456,7222
Blue Mountains,78360,888,2722,4804,2950,6486,16903,9211,25362,9032,82877285,76034
Bogan,2481,28,86,152,93,205,535,292,803,286,2599831,2385
Bourke,2417,27,84,148,91,200,521,284,782,279,2532746,2324
Brewarrina,1488,17,52,91,56,123,321,175,482,172,1559080,1430
Broken Hill,17661,200,614,1083,665,1462,3810,2076,5716,2036,18541351,17010
Burwood,40397,458,1404,2477,1521,3344,8714,4749,13075,4656,42528712,39017
Byron,36077,409,1253,2212,1358,2986,7782,4241,11677,4159,37960720,34826
Cabonne,13760,156,478,844,518,1139,2968,1617,4454,1586,14438999,13247
Camden,119951,1360,4167,7354,4515,9929,25875,14100,38823,13826,127507056,116979
Campbelltown (NSW),177689,2014,6173,10894,6689,14709,38329,20887,57511,20482,190200613,174496
Canada Bay,89667,1017,3115,5498,3375,7422,19342,10540,29021,10336,94966404,87125
Canterbury-Bankstown,372322,4221,12935,22828,14016,30820,80314,43767,120505,42917,407851205,374175
Carrathool,2871,33,100,176,108,238,619,337,929,331,3008654,2760
Central Coast (NSW),348379,3949,12104,21360,13114,28838,75149,40952,112756,40157,380551456,349130
Central Darling,1760,20,61,108,66,146,380,207,570,203,1844134,1692
Cessnock,64082,726,2226,3929,2412,5305,13823,7533,20741,7387,67658603,62072
Clarence Valley,54180,614,1882,3322,2040,4485,11687,6369,17536,6245,57134997,52417
Cobar,4098,46,142,251,154,339,884,482,1326,472,4295131,3940
Coffs Harbour,78738,893,2736,4828,2964,6518,16985,9256,25484,9076,83280900,76404
Coolamon,4401,50,153,270,166,364,949,517,1424,507,4612878,4232
Coonamble,3834,43,133,235,144,317,827,451,1241,442,4018301,3687
Cootamundra-Gundagai,11387,129,396,698,429,943,2456,1339,3686,1313,11945429,10959
Cowra,12753,145,443,782,480,1056,2751,1499,4128,1470,13380657,12276
Cumberland,236996,2687,8234,14531,8921,19618,51123,27859,76706,27318,255489925,234394
Dubbo,55518,629,1929,3404,2090,4596,11976,6526,17969,6399,58555519,53721
Dungog,9525,108,331,584,359,788,2055,1120,3083,1098,9989835,9165
Edward River,8437,96,293,517,318,698,1820,992,2731,973,8847559,8117
Eurobodalla,40453,459,1405,2480,1523,3349,8726,4755,13093,4663,42587958,39072
Fairfield,209030,2370,7262,12816,7869,17303,45090,24572,67654,24094,224590348,206046
Federation,12821,145,445,786,483,1061,2766,1507,4150,1478,13452116,12341
Forbes,9383,106,326,575,353,777,2024,1103,3037,1082,9840734,9028
Georges River,152703,1731,5305,9362,5748,12640,32940,17950,49424,17602,162964938,149509
Gilgandra,4319,49,150,265,163,358,932,508,1398,498,4526884,4153
Glen Innes Severn,8922,101,310,547,336,739,1925,1049,2888,1028,9356716,8584
Goulburn Mulwaree,32138,364,1117,1970,1210,2660,6933,3778,10402,3704,33799781,31009
Greater Hume,11105,126,386,681,418,919,2395,1305,3594,1280,11649197,10687
Griffith,27182,308,944,1667,1023,2250,5863,3195,8798,3133,28570205,26211
Gunnedah,13085,148,455,802,493,1083,2823,1538,4235,1508,13729555,12596
Gwydir,4911,56,171,301,185,407,1059,577,1589,566,5147753,4723
Hawkesbury,67581,766,2348,4143,2544,5594,14578,7944,21873,7790,71383282,65489
Hay,2883,33,100,177,109,239,622,339,933,332,3021234,2772
Hilltops,19216,218,668,1178,723,1591,4145,2259,6219,2215,20177703,18512
Hornsby,152225,1726,5289,9333,5730,12601,32837,17894,49269,17547,162445464,149033
Hunters Hill,13591,154,472,833,512,1125,2932,1598,4399,1567,14261364,13084
Inner West,183772,2083,6385,11267,6918,15212,39642,21602,59479,21183,196855599,180601
Inverell,17919,203,623,1099,675,1483,3865,2106,5800,2065,18812806,17259
Junee,6450,73,224,395,243,534,1391,758,2088,743,6762221,6204
Kempsey,30816,349,1071,1889,1160,2551,6647,3622,9974,3552,32404188,29729
Kiama,22961,260,798,1408,864,1901,4953,2699,7432,2647,24121180,22130
Ku-ring-gai,124659,1413,4331,7643,4693,10319,26890,14654,40347,14369,132587051,121639
Kyogle,9344,106,325,573,352,773,2016,1098,3024,1077,9799785,8991
Lachlan,6149,70,214,377,231,509,1326,723,1990,709,6446413,5914
Lake Macquarie,213967,2426,7434,13119,8055,17712,46155,25152,69252,24663,230030618,211037
Lane Cove,39601,449,1376,2428,1491,3278,8542,4655,12817,4565,41686657,38245
Leeton,11481,130,399,704,432,950,2477,1350,3716,1323,12044177,11050
