LGAs,Population 2021,Babies under 1 year,Children 1-3 years,Children 4-8 years,Adolescents 9-11 years,12-18 years,Women 19-50,Women 51-70,Men 19-70,Adults over 70,Calcium recommended,Demand
Lismore,44344,503,1541,2719,1669,3671,9565,5213,14352,5111,46706485,42850
Lithgow,20854,236,725,1279,785,1726,4498,2451,6750,2404,21902070,20094
Liverpool,234373,2657,8143,14370,8823,19401,50557,27551,75857,27016,252583235,231728
Liverpool Plains,7608,86,264,466,286,630,1641,894,2462,877,7977408,7319
Lockhart,3328,38,116,204,125,275,718,391,1077,384,3487761,3200
Maitland,90553,1027,3146,5552,3409,7496,19533,10645,29308,10438,95915078,87995
Mid-Coast,96425,1093,3350,5912,3630,7982,20800,11335,31209,11115,102207553,93768
Mid-Western,25704,291,893,1576,968,2128,5545,3022,8319,2963,27011840,24782
Moree Plains,12961,147,450,795,488,1073,2796,1524,4195,1494,13599241,12476
Mosman,28461,323,989,1745,1071,2356,6139,3346,9212,3281,29919203,27449
Murray River,12780,145,444,784,481,1058,2757,1502,4136,1473,13409030,12302
Murrumbidgee,3564,40,124,219,134,295,769,419,1154,411,3735199,3427
Muswellbrook,16463,187,572,1009,620,1363,3551,1935,5328,1898,17281099,15854
Nambucca Valley,20375,231,708,1249,767,1687,4395,2395,6595,2349,21397743,19631
Narrabri,12809,145,445,785,482,1060,2763,1506,4146,1476,13439505,12330
Narrandera,5731,65,199,351,216,474,1236,674,1855,661,6007888,5512
Narromine,6448,73,224,395,243,534,1391,758,2087,743,6760123,6202
Newcastle,169317,1919,5883,10381,6374,14016,36524,19903,54801,19517,181056945,166107
North Sydney,69460,787,2413,4259,2615,5750,14983,8165,22481,8006,73384772,67325
Northern Beaches,264481,2998,9189,16216,9956,21893,57051,31090,85602,30486,286053911,262435
Oberon,5564,63,193,341,209,461,1200,654,1801,641,5832700,5351
Orange,43736,496,1520,2682,1646,3620,9434,5141,14156,5041,46062675,42259
Parkes,14453,164,502,886,544,1196,3118,1699,4678,1666,15167483,13915
Parramatta,258315,2928,8975,15838,9724,21383,55721,30365,83606,29775,279180276,256129
Penrith,219149,2484,7614,13436,8250,18141,47273,25761,70929,25261,235747602,216282
Port Macquarie-Hastings,86585,982,3008,5309,3259,7167,18677,10178,28024,9980,91667961,84099
Port Stephens,75282,853,2615,4616,2834,6232,16239,8849,24366,8678,79592066,73020
Queanbeyan-Palerang,63364,718,2201,3885,2385,5245,13668,7448,20508,7304,66894683,61371
Randwick,135275,1534,4700,8294,5092,11198,29180,15902,43783,15593,144062762,132168
Richmond Valley,23589,267,820,1446,888,1953,5088,2773,7635,2719,24782816,22737
Ryde,129773,1471,4509,7957,4885,10742,27993,15255,42002,14959,138111580,126708
Shellharbour,76443,867,2656,4687,2878,6328,16490,8986,24741,8811,80830941,74157
Shoalhaven,108497,1230,3769,6652,4084,8981,23404,12754,35116,12506,115171829,105662
Singleton,24719,280,859,1516,931,2046,5332,2906,8001,2849,25973594,23829
Snowy Monaro,21659,246,752,1328,815,1793,4672,2546,7010,2497,22749768,20871
Snowy Valleys,14901,169,518,914,561,1233,3214,1752,4823,1718,15638487,14347
Strathfield,45930,521,1596,2816,1729,3802,9908,5399,14866,5294,48386343,44391
Sutherland,230903,2618,8022,14157,8692,19114,49808,27143,74734,26616,248740654,228202
Sydney,214851,2436,7465,13173,8088,17785,46346,25256,69538,24765,231005393,211932
Tamworth,63652,722,2211,3903,2396,5269,13730,7482,20602,7337,67201086,61652
Temora,6012,68,209,369,226,498,1297,707,1946,693,6302681,5782
Tenterfield,6798,77,236,417,256,563,1466,799,2200,784,7127371,6539
The Hills,192509,2182,6688,11803,7247,15935,41526,22629,62307,22190,206430782,189386
Tweed,97151,1101,3375,5956,3657,8042,20957,11420,31444,11198,102986155,94483
Upper Hunter,14254,162,495,874,537,1180,3075,1676,4613,1643,14958281,13723
Upper Lachlan,8491,96,295,521,320,703,1832,998,2748,979,8904246,8169
Uralla,5993,68,208,367,226,496,1293,704,1940,691,6282748,5764
Wagga Wagga,67860,769,2358,4161,2555,5617,14638,7977,21963,7822,71680412,65762
Walcha,3018,34,105,185,114,250,651,355,977,348,3162759,2902
Walgett,5590,63,194,343,210,463,1206,657,1809,644,5859974,5376
Warren,2586,29,90,159,97,214,558,304,837,298,2709895,2486
Warrumbungle,9254,105,322,567,348,766,1996,1088,2995,1067,9705288,8904
Waverley,69388,787,2411,4254,2612,5744,14968,8157,22458,7998,73308062,67255
Weddin,3589,41,125,220,135,297,774,422,1162,414,3761411,3451
Wentworth,7487,85,260,459,282,620,1615,880,2423,863,7850417,7202
Willoughby,76034,862,2642,4662,2862,6294,16401,8938,24609,8764,80394467,73756
Wingecarribee,52456,595,1822,3216,1975,4342,11315,6166,16978,6046,55305348,50739
Wollondilly,54176,614,1882,3322,2039,4485,11686,6368,17535,6245,57130751,52414
Wollongong,214657,2433,7458,13161,8081,17769,46304,25233,69476,24743,230791454,211735
Woollahra,53891,611,1872,3304,2029,4461,11625,6335,17442,6212,56828234,52136
Yass Valley,17234,195,599,1057,649,1427,3718,2026,5578,1987,18092121,16598
